Tanımlayıcı;Seviye;Sınıflar;Standart;Açıklama;Kavram;Alt_Kavram;Uygulama;Alt Uygulama-1;Alt Uygulama-2;Alt Uygulama-3
2-IC-22;2;6-8;Bilişimsel bir eser oluştururken kitle kaynak (crowdsourcing) veya anketler gibi stratejiler aracılığıyla birçok katılımcıyla işbirliği yapın.;Kitle kaynak (crowdsourcing), geniş bir insan grubundan, özellikle çevrimiçi topluluktan hizmet, fikir veya içerik toplamaktır. Yerel düzeyde (örneğin sınıf veya okul) veya küresel düzeyde (örneğin Scratch ve Minecraft gibi yaşa uygun çevrimiçi topluluklar) yapılabilir. Örneğin bir grup öğrenci, dijital bir topluluk mozaiği oluşturmak için animasyonları birleştirebilir. Ayrıca çevrimiçi toplulukların ve elektronik anketlerin kullanımı yoluyla birçok kişiden geri bildirim isteyebilirler.;Bilişimin Etkileri;Sosyal Etkileşimler;Bilişim Etrafında İşbirliği Yapmak, Bilişimsel Eserler Yaratmak;P2.4 – Projede işbirliği için uygun teknolojik araçları değerlendirme ve seçme;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;
2-IC-23;2;6-8;Bilgilerin herkese açık olmasına izin vermek ile bilgileri özel ve güvende tutmak arasındaki ödünleşimleri (trade-off) açıklayın.;Bilgi paylaşımı çevrimiçi olarak insanlar arasındaki bağlantıları kurmaya, sürdürmeye ve güçlendirmeye yardımcı olabilir. Örneğin sanatçıların ve tasarımcıların yeteneklerini sergilemelerine ve geniş bir kitleye ulaşmalarına olanak tanır. Ancak güvenlik saldırıları genellikle çevrimiçi olarak halka açık olan kişisel bilgilerle başlar. Sosyal mühendislik, insanları hassas bilgileri ifşa etmeleri için kandırmaya dayanır ve kimlik avı (phishing) ve yanıltma (spoofing) gibi saldırılara karşı dikkatli olunarak engellenebilir.;Bilişimin Etkileri;Güvenlik Hukuk ve Etik;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3A-CS-01;3A;9-10;Soyutlamaların, günlük nesnelere gömülü bilişim sistemlerinin altta yatan uygulama ayrıntılarını nasıl gizlediğini açıklayın.;Bilişim cihazları genellikle biyolojik, mekanik ve sosyal sistemler dahil olmak üzere diğer sistemlerle entegre edilmiştir. Bir kişinin sağlığını izlemek ve düzenlemek için içine tıbbi bir cihaz yerleştirilebilir, bir işitme cihazı (bir tür yardımcı cihaz) belirli frekansları filtreleyebilir ve diğerlerini büyütebilir, bir motorlu araca monte edilen bir izleme cihazı kişinin sürüş alışkanlıklarını ve kalıplarını takip edebilir ve bir kişiyi teşhis etmek için güvenlik sistemine bir yüz tanıma cihazı entegre edilebilir. Entegre veya gömülü sistemlerin oluşturulması bu seviyede bir beklenti değildir. Öğrenciler araba teybi gibi gömülü bir cihaz seçebilir, içerdiği veri türlerini (radyo istasyonu ön ayarları, ses seviyesi) ve prosedürleri (sesi artırma, kaydedilen istasyonu depolama/çağırma, sessize alma) belirleyebilir ve uygulama ayrıntılarının kullanıcıdan nasıl gizlendiğini açıklayabilir.;Bilişim Sistemleri;Cihazlar;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
3A-CS-02;3A;9-10;Uygulama yazılımı, sistem yazılımı ve donanım katmanları arasındaki soyutlama düzeylerini ve etkileşimleri karşılaştırın.;En temel düzeyinde bir bilgisayar, fiziksel donanım ve elektriksel uyarılardan oluşur. Birden fazla yazılım katmanı, donanımın üzerine inşa edilir ve karmaşıklığı azaltmak için altındaki ve üstündeki katmanlarla etkileşime girer. Sistem yazılımı, yazılımın donanımla etkileşime girebilmesi için bir bilişim cihazının kaynaklarını yönetir. Örneğin metin düzenleme yazılımı klavyeden girdi almak, girdiyi depolama için bitlere dönüştürmek ve bitleri monitörde görüntülenecek okunabilir metin olarak yorumlamak için işletim sistemiyle etkileşime girer. Sistem yazılımı akıllı TV'ler, yardımcı cihazlar, sanal bileşenler, bulut bileşenleri ve dronlar gibi birçok farklı türde cihazda kullanılır. Örneğin öğrenciler voltajdan ikili (binary) sinyale, mantık kapılarına, toplayıcılara (adder) vb. ilerlemeyi keşfedebilirler. Bu seviyede BIOS, çekirdek (kernel) veya veri yolu (bus) gibi bilgisayar mimarisine yönelik belirli, gelişmiş terimlerin bilinmesi beklenmez.;Bilişim Sistemleri;Donanım ve Yazılım;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
3A-CS-03;3A;9-10;Başkalarının hataları belirlemek ve düzeltmek için kullanabileceği sistematik sorun giderme stratejilerini aktaran yönergeler geliştirin.;"Karmaşık sorunların giderilmesi, potansiyel çözümleri araştırırken, değerlendirirken ve uygularken birden fazla kaynağın kullanımını içerir. Sorun giderme aynı zamanda deneyime dayanır; tıpkı insanların bir sorunun daha önce gördükleri bir soruna benzediğini fark etmesi veya geçmişte işe yarayan çözümleri uyarlaması gibi. Karmaşık sorun giderme stratejilerinin örnekleri arasında bağlantı sorunlarını çözme, sistem yapılandırmalarını ve ayarlarını düzenleme, donanım ve yazılım uyumluluğunu sağlama ve bir cihazdan diğerine veri aktarımı yer alır. Öğrenciler bir akış şeması, bir yardım masası çalışanı için bir iş yardımcısı veya bir uzman sistem oluşturabilirler.";Bilişim Sistemleri;Sorun Giderme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.2 – Hataları sistematik biçimde belirleme ve düzeltme;;
3A-NI-04;3A;9-10;Yönlendiriciler (router), anahtarlar (switch), sunucular, topoloji ve adresleme arasındaki ilişkiyi açıklayarak ağların ölçeklenebilirliğini ve güvenilirliğini değerlendirin.;Ağ üzerindeki her cihaza, onu benzersiz şekilde tanımlayan bir adres atanır. Yönlendiriciler, paketlerin varış noktalarına ulaşmak için izlemesi gereken yolları belirlemek üzere IP adreslerini karşılaştırarak çalışır. Anahtarlar, hangi bilgisayarların veya ağ bölümlerinin çerçeveleri (frame) alacağını belirlemek için MAC adreslerini karşılaştırarak çalışır. Öğrenciler, bu faktörleri denemek için çevrimiçi ağ simülatörlerini kullanabilirler.;Ağlar ve İnternet;Ağ İletişimi ve Organizasyon;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
3A-NI-05;3A;9-10;Hassas verilerin kötü amaçlı yazılımlardan ve diğer saldırılardan nasıl etkilenebileceğini göstermek için örnekler verin.;Ağ güvenliği veri ve sistemlere erişimi kontrol eden donanım, yazılım ve uygulamaların bir kombinasyonuna bağlıdır. Kullanıcıların ihtiyaçları ve verilerin hassasiyeti, uygulanan güvenlik düzeyini belirler. Hizmet reddi (DoS) saldırıları, fidye yazılımı (ransomware), virüsler, solucanlar (worms), casus yazılımlar (spyware) ve kimlik avı (phishing) gibi potansiyel güvenlik sorunları hassas veriler için tehdit oluşturur. Öğrenciler, hükümetlerin veya kuruluşların bu tür saldırılar sonucunda veri sızıntısı veya veri kaybı yaşadığı vaka çalışmaları veya güncel olaylar üzerine düşünebilirler.;Ağlar ve İnternet;Ağ İletişimi ve Organizasyon;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3A-NI-06;3A;9-10;Verimlilik, uygulanabilirlik ve etik etkiler gibi faktörlere dayanarak çeşitli senaryoları ele almak için güvenlik önlemleri önerin.;Güvenlik önlemleri arasında fiziksel güvenlik belirteçleri (token), iki faktörlü kimlik doğrulama ve biyometrik doğrulama yer alabilir. Hizmet reddi (DoS) saldırıları, fidye yazılımları, virüsler, solucanlar, casus yazılımlar ve kimlik avı gibi potansiyel güvenlik sorunları, hassas verilerin neden güvenli bir şekilde depolanması ve iletilmesi gerektiğine örnek teşkil eder. Yetkili kullanıcıların verilere ve bilgi hizmetlerine zamanında ve güvenilir erişimi (kullanılabilirlik olarak adlandırılır), yeterli bant genişliği, yedeklemeler ve diğer önlemlerle sağlanır. Öğrenciler, maliyet-fayda analizi yoluyla olduğu gibi, belirli sorunları veya alt sorunları çözmek için bilişimsel araçları kullanmanın uygulanabilirliğini sistematik olarak değerlendirmelidir. Sonuçta öğrenciler, verimliliğin fizibiliteyi nasıl etkilediği veya önerilen bir yaklaşımın etik kaygılar yaratıp yaratmadığı gibi faktörleri değerlendirmelerine dahil etmelidir.;Ağlar ve İnternet;Siber Güvenlik;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.3 – Bir problemin bilgisayar/teknoloji ile çözülmesinin uygun ve uygulanabilir olup olmadığını değerlendirme;;
3A-NI-07;3A;9-10;Bir bilişim sisteminin kullanılabilirliği ve güvenliği arasındaki ödünleşimleri (trade-off) göz önünde bulundurarak çeşitli güvenlik önlemlerini karşılaştırın.;Güvenlik önlemleri arasında fiziksel güvenlik belirteçleri, iki faktörlü kimlik doğrulama ve biyometrik doğrulama yer alabilir ancak güvenlik önlemlerinin seçilmesi, sistemin kullanılabilirliği ile güvenliği arasında ödünleşimler içerir. Kullanıcıların ihtiyaçları ve verilerin hassasiyeti, uygulanan güvenlik seviyesini belirler. Öğrenciler, birçok eğitim sitesine erişimi engelleyen ancak kampüs ağını güvende tutan bir web filtresi gibi kullanılabilirlik ile güvenlik arasında ödünleşimi ortaya koyan yerel düzeydeki bilgisayar güvenlik politikalarını tartışabilirler.;Ağlar ve İnternet;Ağ İletişimi ve Organizasyon;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.3 – Performans, güvenilirlik, kullanılabilirlik ve erişilebilirliği artırmak için ürünü iyileştirme;;
3A-NI-08;3A;9-10;Siber güvenlik önerilerini seçerken ve uygularken yapılan ödünleşimleri (trade-off) açıklayın.;Ağ güvenliği veri ve sistemlere erişimi kontrol eden donanım, yazılım ve uygulamaların bir kombinasyonuna bağlıdır. Kullanıcıların ihtiyaçları ve verilerin hassasiyeti, uygulanan güvenlik düzeyini belirler. Her güvenlik önlemi, sistemin erişilebilirliği ile güvenliği arasında ödünleşimler içerir. Öğrenciler, hedef kitleye ve amaca uygun terminolojiyi kullanarak yaptıkları seçimleri açıklayabilmeli, gerekçelendirebilmeli ve belgeleyebilmelidir. Öğrenciler bireyler, şirketler, gizlilik savunucuları, güvenlik uzmanları ve hükümet dahil olmak üzere farklı izleyicilerin bakış açısından sorunları tartışabilirler.;Ağlar ve İnternet;Siber Güvenlik;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3A-DA-09;3A;9-10;Karakterler, sayılar ve resimler gibi gerçek dünya olaylarının farklı bit temsilleri arasında çeviri yapın.;Örneğin onaltılık (hexadecimal) renk kodlarını ondalık yüzdelere, ASCII/Unicode gösterimine ve mantık kapılarına (logic gates) dönüştürün.;Veri ve Analiz;Depolama;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
3A-DA-10;3A;9-10;Veri öğelerinin nasıl düzenlendiği ve verilerin nerede depolandığı konusundaki ödünleşimleri (trade-off) değerlendirin.;İnsanlar veri öğelerinin nasıl düzenlendiği ve verilerin nerede saklandığı hakkında seçimler yaparlar. Bu seçimler maliyet, hız, güvenilirlik, erişilebilirlik, gizlilik ve bütünlüğü etkiler. Öğrenciler seçilen bir çözümün belirli bir sorun için en uygun çözüm olup olmadığını değerlendirmelidir. Öğrenciler fotoğraf verilerini bulutta saklamakla mobil cihazda saklamak arasındaki maliyet, hız, güvenilirlik, erişilebilirlik, gizlilik ve bütünlük ödünleşimlerini değerlendirebilirler.;Veri ve Analiz;Depolama;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.3 – Bir problemin bilgisayar/teknoloji ile çözülmesinin uygun ve uygulanabilir olup olmadığını değerlendirme;;
3A-DA-11;3A;9-10;Başkalarının gerçek dünya fenomenlerini daha iyi anlamasına yardımcı olmak için yazılım araçlarını kullanarak etkileşimli veri görselleştirmeleri oluşturun.;İnsanlar, diğer insanların temel bilgileri yorumlama ve anlama biçimini etkilemek için büyük veri kümelerini farklı şekillerde dönüştürür, genelleştirir, basitleştirir ve sunar. Örnekler arasında görselleştirme, toplulaştırma, yeniden düzenleme ve matematiksel işlemlerin uygulanması yer alır. İnsanlar güçlü, etkileşimli veri görselleştirmeleri oluşturmak ve verileri dönüştürüp analiz etmek için bir dizi matematiksel işlem gerçekleştirmek amacıyla yazılım araçlarını veya programlamayı kullanırlar. Öğrenciler fenomenleri, sistem içindeki etkileşimleri yöneten kurallarla birlikte sistemler olarak modellemeli ve bu modelleri gerçek dünya gözlemlerine karşı değerlendirmelidir. Örneğin, sürü oluşturma davranışları (flocking), kuyruk oluşturma (queueing) veya yaşam döngüleri. Google Fusion Tables, çevrimiçi veri görselleştirmesine erişim sağlayabilir.;Veri ve Analiz;Toplama Görselleştirme ve Dönüştürme;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
3A-DA-12;3A;9-10;Bir fenomenden veya süreçten toplanan farklı veri öğeleri arasındaki ilişkileri temsil eden bilişimsel modeller oluşturun.;Bilişimsel modeller, seçilen verilere ve özelliklere dayanarak süreçler veya fenomenler hakkında tahminlerde bulunur. Seçilen verilerin ve özelliklerin miktarı, kalitesi ve çeşitliliği, bir modelin kalitesini ve bir sistemi anlama yeteneğini etkileyebilir. Modelleri doğrulamak için tahminler veya çıkarımlar test edilir. Öğrenciler, sistem içindeki etkileşimleri yöneten kurallarla birlikte olayları sistemler olarak modellemelidir. Öğrenciler bu modelleri gerçek dünya gözlemlerine karşı analiz etmeli ve değerlendirmelidir. Örneğin öğrenciler bir programlama aracı kullanarak basit bir üretici-tüketici ekosistem modeli oluşturabilirler. Zamanla, avlanma, rekabet veya simbiyoz (ortak yaşam) gibi türler arasında daha karmaşık ve gerçekçi etkileşimler oluşturmaya ilerleyebilir ve doğadan toplanan verilere dayanarak modeli değerlendirebilirler.;Veri ve Analiz;Çıkarım ve Modeller;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
3A-AP-13;3A;9-10;Öğrencinin önceki bilgilerinden ve kişisel ilgi alanlarından yararlanarak bilişimsel sorunları çözmek için algoritmalar kullanan prototipler oluşturun.;Bir prototip, bir ürünün veya sürecin temel işlevselliğini gösteren bilişimsel bir eserdir. Prototipler, tasarım sürecinde erken geri bildirim almak için faydalıdır ve bir ürünün fizibilitesi hakkında fikir verebilir. Bilişimsel eserler geliştirme süreci, prototipler oluşturmak ve bilişimsel sorunları çözmek için hem yaratıcı ifadeyi hem de fikirlerin keşfedilmesini kapsar. Öğrenciler kişisel olarak ilgili veya topluluklarına ve ötesine faydalı olan eserler yaratırlar. Öğrenciler, bir algoritmaya yanıt olarak, bir algoritmanın performansını, yeniden kullanılabilirliğini ve uygulama kolaylığını gösteren eserler geliştirmelidir.;Algoritmalar ve Programlama;Algoritmalar;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
3A-AP-14;3A;9-10;Basit değişkenleri tekrar tekrar kullanmak yerine bilişimsel sorunları genelleştirerek çözümleri basitleştirmek için listeleri kullanın.;Öğrenciler, kodun birden fazla bölümündeki ortak özellikleri belirleyebilmeli ve farklılıkları hesaba katmak için listeler (diziler) kullanan tek bir kod bölümünü yerine koyabilmelidir.;Algoritmalar ve Programlama;Değişkenler;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
3A-AP-15;3A;9-10;Ödünleşimler (trade-off) uygulama, okunabilirlik ve program performansı içerdiğinde belirli kontrol yapılarının seçimini gerekçelendirin ve yapılan seçimlerin faydalarını ve dezavantajlarını açıklayın.;"Uygulama, bir programı oluşturmak için gereken süreyi ve çabayı etkileyen programlama dilinin seçimini içerir. Okunabilirlik, programın diğer programcılar için ne kadar açık olduğu anlamına gelir ve dokümantasyon yoluyla iyileştirilebilir. Performans tartışması, yürütme süresi ve depolama gereksinimlerinin teorik bir anlayışıyla sınırlıdır; niceliksel bir analiz beklenmemektedir. Bu seviyedeki kontrol yapıları koşullu ifadeler, döngüler, olay işleyiciler ve özyinelemeyi (recursion) içerebilir. Örneğin öğrenciler, Fibonacci dizisini hesaplayan prosedürlerin yinelemeli ve özyinelemeli uygulamalarının okunabilirliğini ve program performansını karşılaştırabilirler.";Algoritmalar ve Programlama;Kontrol;Bilişimsel Problemleri Tanıma ve Tanımlama;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
3A-AP-16;3A;9-10;Talimatları başlatmak için olayları (events) kullanarak pratik amaç, kişisel ifade veya toplumsal bir sorunu ele almak için bilişimsel eserler tasarlayın ve yinelemeli olarak geliştirin.;Bu bağlamda ilgili bilişimsel eserler arasında programlar, mobil uygulamalar veya web uygulamaları yer alır. Olaylar, bir düğmeye basmak gibi kullanıcı tarafından başlatılabilir veya bir zamanlayıcının tetiklenmesi gibi sistem tarafından başlatılabilir. Önceki seviyelerde öğrenciler prosedürler oluşturmayı ve çağırmayı öğrendiler. Burada öğrenciler olaylar tarafından çağrılan prosedürler tasarlarlar. Öğrenciler, cihazın konumu değiştiğini algıladığında yakındaki ilgi çekici yerlerin bir listesini güncelleyen bir mobil uygulama oluşturabilirler.;Algoritmalar ve Programlama;Kontrol;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
3A-AP-17;3A;9-10;Prosedürler, modüller ve/veya nesneler gibi yapıları kullanarak sistematik analiz yoluyla sorunları daha küçük bileşenlere ayırın.;Bu düzeyde öğrenciler karmaşık sorunları, halihazırda var olan programlar veya prosedürlerle potansiyel olarak çözülebilecek yönetilebilir alt sorunlara ayırmalıdır. Örneğin, öğrenciler bir uygulama programlama arayüzü (API) aracılığıyla çevrimiçi bir veritabanına bağlanarak bir topluluk sorununu çözecek bir uygulama oluşturabilirler.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.2 – Karmaşık problemleri yönetilebilir alt problemlere ayırma;;
3A-AP-18;3A;9-10;Bir program içinde prosedürler, veri ve prosedürlerin kombinasyonları veya bağımsız ancak birbiriyle ilişkili programlar kullanarak eserler yaratın.;Bilişimsel eserler mevcut eserler birleştirilerek ve değiştirilerek veya yeni eserler geliştirilerek yaratılabilir. Bilişimsel eserlerin örnekleri arasında programlar, simülasyonlar, görselleştirmeler, dijital animasyonlar, robotik sistemler ve uygulamalar yer alır. Karmaşık programlar, ortak bir genel amaç için koordine edilen ve her birinin belirli bir rolü olan etkileşimli modül sistemleri olarak tasarlanır. Modüller, karmaşık görevlerin daha iyi yönetilmesine olanak tanır. Bu seviyedeki odak noktası, bir programı modüller arasındaki ilişkileri olan bir sistem olarak anlamaktır. Programlama dili veya paradigması gibi uygulama seçimi değişebilir. Öğrenciler, bir robotun yeteneklerini artırmak için bilgisayarla görme (computer vision) kütüphanelerini dahil edebilir veya bir web uygulamasının işlevselliğini genişletmek için açık kaynaklı JavaScript kütüphanelerinden yararlanabilirler.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
3A-AP-19;3A;9-10;Kullanıcılardan gelen geri bildirimleri dahil ederek geniş kitleler için sistemli bir şekilde programlar tasarlayın ve geliştirin.;Program örnekleri oyunlar, araçlar (utilities) ve mobil uygulamaları içerebilir. Daha düşük seviyedeki öğrenciler geri bildirim toplar ve programları revize ederler. Bu seviyede öğrenciler, bunu geniş kitlelerden gelen geri bildirimleri içeren sistematik bir süreçle yapmalıdır. Öğrenciler, geniş bir kitleden geri bildirim sağlayabilecek bir kullanıcı memnuniyeti anketi oluşturabilir ve dağıtım yöntemleri üzerine beyin fırtınası yapabilir, seçilen geri bildirimleri ürün revizyonlarına dahil etmek için izledikleri süreci belgeleyebilirler.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Eserler Yaratmak;P5.1 – Dijital ürün geliştirmeyi yinelemeli bir süreçle planlama;;
3A-AP-20;3A;9-10;Kütüphaneler gibi kaynakları kullanırken bilişimsel eserlerin kullanımını sınırlayan veya kısıtlayan lisansları değerlendirin.;Yazılım lisanslarına örnek olarak telif hakkı, ücretsiz yazılım (freeware) ve birçok açık kaynak lisanslama şeması verilebilir. Önceki seviyelerde öğrenciler lisanslama şemalarına uymuştur. Bu seviyede, özellikle kütüphaneleri ve diğer kaynakları dahil ederken, kendi çalışmaları için lisanslama sonuçlarını dikkate almalıdırlar. Öğrenciler, benzer bir ihtiyaca hitap eden iki yazılım kütüphanesini düşünebilir ve en az kısıtlayıcı lisansa sahip kütüphaneye göre seçimlerini gerekçelendirebilirler.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;;
3A-AP-21;3A;9-10;Daha kullanışlı ve erişilebilir olmalarını sağlamak için bilişimsel eserleri değerlendirin ve geliştirin.;Test etme ve iyileştirme, bilişimsel bir eseri geliştirmenin kasıtlı ve yinelemeli sürecidir. Bu süreç, hata ayıklamayı (hataları belirleme ve düzeltme) ve gerçek sonuçları beklenen sonuçlarla karşılaştırmayı içerir. Öğrenciler, son kullanıcıların değişen ihtiyaç ve beklentilerine yanıt vermeli ve eserlerin performansını, güvenilirliğini, kullanılabilirliğini ve erişilebilirliğini iyileştirmelidir. Örneğin öğrenciler bir kullanıcı arayüzündeki menülerin ve düğmelerin boyutunu ve yerleşimini yönlendirmeye yardımcı olmak için çeşitli son kullanıcılardan gelen geri bildirimleri dahil edebilirler.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.3 – Performans, güvenilirlik, kullanılabilirlik ve erişilebilirliği artırmak için ürünü iyileştirme;;
3A-AP-22;3A;9-10;Ortak çalışma araçlarını kullanarak ekip rollerinde çalışarak bilişimsel eserler tasarlayın ve geliştirin.;"Ortak çalışma araçları, kaynak kodu sürüm kontrol sistemi kadar karmaşık veya ortak çalışan bir kelime işlemci kadar basit olabilir. Çift programlamadaki (pair programming) ekip rolleri sürücü ve yönlendiricidir (navigator), ancak daha büyük ekiplerde daha uzmanlaşmış olabilir. Programlar daha karmaşık hale geldikçe, program geliştirmeye yardımcı olan kaynakların seçimi giderek daha önemli hale gelir ve öğrenciler tarafından yapılmalıdır. Öğrenciler okul veya toplulukla ilgili bir sorunu ele alan bir mobil uygulama geliştirmek için ekip olarak çalışabilir, proje zaman çizelgesini oluşturmak ve yönetmek için uygun araçları seçebilir; grafik kullanıcı arayüzü öğelerini tasarlayabilir, paylaşabilir ve revize edebilir; planlanan, devam eden ve tamamlanan bileşenleri takip edebilirler.";Algoritmalar ve Programlama;Program Geliştirme;Bilişim Etrafında İşbirliği Yapmak;P2.4 – Projede işbirliği için uygun teknolojik araçları değerlendirme ve seçme;;
3A-AP-23;3A;9-10;Karmaşık programların geliştirilmesinde metin, grafik, sunum ve/veya gösterimler kullanarak tasarım kararlarını belgeleyin.;"Karmaşık programlar, ortak bir genel amaç için koordine edilen, her birinin belirli bir rolü olan etkileşimli modüller sistemleri olarak tasarlanır. Bu modüller bir program içindeki prosedürler; veriler ve prosedürlerin kombinasyonları veya bağımsız ancak birbiriyle ilişkili programlar olabilir. Karmaşık programların geliştirilmesi, programın parçalarını düzenlemek ve yönetmek için kütüphaneler ve araçlar gibi kaynaklarla desteklenir.";Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3A-IC-24;3A;9-10;Bilişimin kişisel, etik, sosyal, ekonomik ve kültürel uygulamaları nasıl etkilediğini değerlendirin.;Bilişim uygulamaları geliştirebilir, onlara zarar verebilir veya onları sürdürebilir. Bilişime asgari düzeyde maruz kalma, eğitime erişim ve eğitim fırsatları gibi eşitlik eksiklikleri, toplumdaki daha büyük, sistemik sorunlarla ilişkilidir. Öğrenciler, geniş banda (broadband) erişimi olmayan veya çeşitli engelleri olan kişiler gibi geniş bir son kullanıcı grubu için bir ürünün erişilebilirliğini değerlendirebilmelidir. Öğrenciler ayrıca ürün tasarımında erişilebilirliği en üst düzeye çıkarmak için tasarım süreci sırasındaki potansiyel önyargıları belirlemeye başlamalıdır.;Bilişimin Etkileri;Kültür;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;P1.2 – Farklı kullanıcı ihtiyaçlarını dikkate alarak erişilebilir ve kullanılabilir ürün tasarlama;;
3A-IC-25;3A;9-10;Önyargıyı ve eşitlik eksikliklerini azaltmak için bilişimsel eserleri test edin ve geliştirin.;Önyargılar, geliştiricilerin kullanıcı tabanları hakkında yaptıkları yanlış varsayımları içerebilir. Eşitlik eksiklikleri arasında bilişime asgari düzeyde maruz kalma, eğitime erişim ve eğitim fırsatları yer alır. Öğrenciler, ürün tasarımında erişilebilirliği en üst düzeye çıkarmak için tasarım sürecindeki potansiyel önyargıları belirlemeye başlamalı ve bilişimsel eserlerin erişilebilirliğini değerlendirmek için profesyonel olarak kabul edilen erişilebilirlik standartlarının farkında olmalıdır.;Bilişimin Etkileri;Kültür;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;P1.2 – Farklı kullanıcı ihtiyaçlarını dikkate alarak erişilebilir ve kullanılabilir ürün tasarlama;;
3A-IC-26;3A;9-10;Belirli bir algoritmanın disiplinler arası sorunlara nasıl uygulandığını gösterin.;Bilişim, insan niyetini algoritmik olarak bir esere dönüştürerek sanat ve müzik gibi disiplinlerle özellikleri paylaşabilir. Öğrenciler, yeni kask teknolojisi ile bisiklet güvenliğini artırmak gibi birden fazla disiplini kapsayan ve bilişimsel olarak çözülebilecek gerçek dünya sorunlarını belirleyebilmelidir.;Bilişimin Etkileri;Kültür;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.1 – Hesaplamalı olarak çözülebilecek karmaşık ve gerçek dünya problemlerini belirleme;;
3A-IC-27;3A;9-10;Farklı kültürlerdeki ve kariyer alanlarındaki insanların bağlantısını artırmak için bir projede işbirliği amaçlı araçlar ve yöntemler kullanın.;Toplumun birçok yönü, özellikle de kariyerler, bilişimin sağladığı iletişim derecesinden etkilenmiştir. Farklı kültürlerdeki ve farklı kariyer alanlarındaki insanlar arasındaki artan bağlantı, birçok kariyerin doğasını ve içeriğini değiştirmiştir. Öğrenciler, ekip üyelerinden, sınıf arkadaşlarından ve çevrimiçi forumlara veya yerel topluluklara katılım gibi diğerlerinden girdi istemek için kullanılan farklı işbirlikçi araçları ve yöntemleri keşfetmelidir. Örneğin öğrenciler, farklı sosyal medya araçlarının bir ekibin daha uyumlu hale gelmesine nasıl yardımcı olabileceğini karşılaştırabilirler.;Bilişimin Etkileri;Sosyal Etkileşimler;Bilişim Etrafında İşbirliği Yapmak;P2.4 – Projede işbirliği için uygun teknolojik araçları değerlendirme ve seçme;;
